x,y,z,V,Ex,Ey,Ez,E_mag
-0.150000,-0.060000,0.010000,2.21813059e-01,-1.33093391e+00,-5.17507099e-01,1.01020907e-01,1.43157392e+00
-0.150000,-0.060000,0.020000,2.20315880e-01,-1.30159152e+00,-5.06659386e-01,1.97242757e-01,1.41058461e+00
-0.150000,-0.060000,0.030000,2.17898003e-01,-1.25539112e+00,-4.89513389e-01,2.84566015e-01,1.37717393e+00
-0.150000,-0.060000,0.040000,2.14664075e-01,-1.19580289e+00,-4.67281413e-01,3.60081300e-01,1.33339980e+00
-0.150000,-0.060000,0.050000,2.10741023e-01,-1.12674090e+00,-4.41352692e-01,4.22245268e-01,1.28165063e+00
-0.150000,-0.060000,0.060000,2.06264747e-01,-1.05201368e+00,-4.13106289e-01,4.70768528e-01,1.22434170e+00
-0.150000,-0.060000,0.070000,2.01368937e-01,-9.74947490e-01,-3.83775276e-01,5.06326817e-01,1.16368936e+00
-0.150000,-0.060000,0.080000,1.96177132e-01,-8.98202606e-01,-3.54372604e-01,5.30218658e-01,1.10158054e+00
-0.150000,-0.060000,0.090000,1.90798084e-01,-8.23743845e-01,-3.25669715e-01,5.44056974e-01,1.03952522e+00
-0.150000,-0.060000,0.100000,1.85323850e-01,-7.52906989e-01,-2.98210799e-01,5.49535380e-01,9.78666311e-01
-0.150000,-0.050000,-0.100000,4.70286349e-02,-1.96462944e-01,-6.47479209e-02,-1.43713233e-01,2.51879882e-01
-0.150000,-0.050000,-0.090000,4.84623328e-02,-2.15527486e-01,-7.08759555e-02,-1.42699314e-01,2.68027223e-01
